image_id,filename,origin,defects,room,source_clean,params
img_001,img_001.jpg,real,compressed,kitchen,786898985_10233897799371561_8521419329435155892_n.jpg,{}
img_003,img_003.jpg,real,compressed,bathroom,787958669_37982680774710797_4317746087138517002_n.jpg,{}
img_004,img_004.jpg,real,compressed,kitchen,789301158_37982680694710805_4474550433771724832_n.jpg,{}
img_005,img_005.jpg,real,compressed,bathroom,790848105_37982118311433710_4596406983862169425_n.jpg,{}
img_006,img_006.jpg,real,color_cast,bathroom,793109441_122184868196896902_3383325141493551836_n.jpg,{}
img_007,img_007.jpg,real,backlit;compressed,bedroom,793352308_29444916911764547_1421836368728814554_n.jpg,{}
img_008,img_008.jpg,real,tilt,bedroom,794279872_122184867956896902_4560895986844596507_n.jpg,{}
img_009,img_009.jpg,real,color_cast;tilt,bathroom,795431281_122184868028896902_1148044843532797544_n.jpg,{}
img_010,img_010.jpg,real,color_cast;compressed,kitchen,795644143_122223318218427995_8561849682605778742_n.jpg,{}
img_011,img_011.jpg,real,compressed,bedroom,795808733_5531378993753001_2396843837431809694_n.jpg,{}
img_012,img_012.jpg,real,compressed,living,797811444_5531379010419666_2680201955171396836_n.jpg,{}
img_013,img_013.jpg,real,underexposed;color_cast;tilt;compressed,living,799202488_10231854695925581_6627449849161501517_n.jpg,{}
img_014,img_014.jpg,real,backlit;color_cast;tilt;compressed,living,800001193_10228976629395040_2631902316090972036_n.jpg,{}
img_015,img_015.jpg,real,color_cast;low_resolution;compressed,bathroom,800283249_10243750385605738_2865010297865887218_n.jpg,{}
img_016,img_016.jpg,real,color_cast;compressed,kitchen,800965823_10228976631195085_6421659363172829755_n.jpg,{}
img_017,img_017.jpg,real,compressed,living,801938996_1622431779317951_5164096516839491155_n.jpg,{}
img_018,img_018.jpg,real,backlit;low_resolution;compressed,kitchen,804365677_4354820504829114_2701177388675985546_n.jpg,{}
img_019,img_019.jpg,real,low_resolution;compressed;tilt,bathroom,804792496_4354820264829138_1013107772159075401_n.jpg,{}
img_020,img_020.jpg,real,color_cast;low_resolution;compressed,hallway,805923826_4354820948162403_4876570846638861457_n.jpg,{}
img_021,img_021.jpg,real,backlit;color_cast;low_resolution;compressed,kitchen,806093741_4354820961495735_534835162964932159_n.jpg,{}
img_022,img_022.jpg,real,color_cast;compressed,bathroom,807484655_28223533607295663_4805579614677194753_n.jpg,{}
img_023,img_023.jpg,real,compressed,living,807830498_28223533557295668_2201114376198678568_n.jpg,{}
img_024,img_024.jpg,real,tilt;compressed,bedroom,FotoRuotata.jpeg,{}
img_025,img_025.jpg,real,underexposed;compressed,bedroom,FotoScura.jpeg,{}
