timestamp,image_id,chosen,shown,order,tester
1789289406,img_001,D1,D2;D1,D2;D1,ps
1789289410,img_001,D1,D1;D3,D1;D3,ps
1789289416,img_001,D2,D3;D2,D3;D2,ps
1789289426,img_003,D1,D1;D3,D1;D3,ps
1789289434,img_003,D1,D1;D2,D1;D2,ps
1789289437,img_003,D2,D3;D2,D3;D2,ps
1789289442,img_004,D1,D1;D3,D1;D3,ps
1789289447,img_004,D1,D2;D1,D2;D1,ps
1789289449,img_004,D2,D3;D2,D3;D2,ps
1789289458,img_005,D3,D2;D3,D2;D3,ps
1789289461,img_005,D3,D1;D3,D1;D3,ps
1789289462,img_005,D1,D2;D1,D2;D1,ps
1789289469,img_006,D1,D1;D3,D1;D3,ps
1789289471,img_006,D2,D3;D2,D3;D2,ps
1789289475,img_006,D1,D1;D2,D1;D2,ps
1789289480,img_007,D3,D3;D1,D3;D1,ps
1789289485,img_007,D2,D2;D3,D2;D3,ps
1789289488,img_007,D2,D1;D2,D1;D2,ps
1789289498,img_008,D3,D3;D2,D3;D2,ps
1789289502,img_008,D2,D1;D2,D1;D2,ps
1789289505,img_008,D1,D1;D3,D1;D3,ps
1789289512,img_009,D1,D2;D1,D2;D1,ps
1789289515,img_009,D1,D1;D3,D1;D3,ps
1789289517,img_009,D2,D3;D2,D3;D2,ps
1789289529,img_010,D2,D1;D2,D1;D2,ps
1789289534,img_010,D1,D3;D1,D3;D1,ps
1789289536,img_010,D2,D3;D2,D3;D2,ps
1789289546,img_011,D1,D1;D3,D1;D3,ps
1789289547,img_011,D2,D2;D3,D2;D3,ps
1789289550,img_011,D2,D1;D2,D1;D2,ps
1789289554,img_012,D1,D2;D1,D2;D1,ps
1789289560,img_012,D2,D2;D3,D2;D3,ps
1789289562,img_012,D1,D3;D1,D3;D1,ps
1789289568,img_014,D2,D1;D2,D1;D2,ps
1789289578,img_014,D3,D3;D2,D3;D2,ps
1789289579,img_014,D3,D3;D1,D3;D1,ps
1789289585,img_015,D1,D1;D3,D1;D3,ps
1789289586,img_015,D2,D3;D2,D3;D2,ps
1789289589,img_015,D1,D2;D1,D2;D1,ps
1789289594,img_016,D2,D3;D2,D3;D2,ps
1789289595,img_016,D1,D1;D3,D1;D3,ps
1789289597,img_016,D1,D2;D1,D2;D1,ps
1789289602,img_017,D3,D1;D3,D1;D3,ps
1789289607,img_018,D2,D1;D2,D1;D2,ps
1789289609,img_018,D2,D3;D2,D3;D2,ps
1789289613,img_018,D1,D3;D1,D3;D1,ps
1789289617,img_019,D2,D3;D2,D3;D2,ps
1789289620,img_019,D2,D1;D2,D1;D2,ps
1789289621,img_019,D1,D1;D3,D1;D3,ps
1789289629,img_020,D3,D2;D3,D2;D3,ps
1789289631,img_020,D1,D1;D3,D1;D3,ps
1789289633,img_020,D2,D1;D2,D1;D2,ps
1789289639,img_021,D2,D3;D2,D3;D2,ps
1789289649,img_021,D1,D3;D1,D3;D1,ps
1789289652,img_021,D1,D2;D1,D2;D1,ps
1789289661,img_022,D3,D3;D2,D3;D2,ps
1789289664,img_022,D1,D2;D1,D2;D1,ps
1789289668,img_022,D3,D3;D1,D3;D1,ps
1789289673,img_023,tie,D2;D1,D2;D1,ps
1789289677,img_023,D2,D2;D3,D2;D3,ps
1789289681,img_023,tie,D3;D1,D3;D1,ps
1789289686,img_024,D1,D1;D3,D1;D3,ps
1789289688,img_024,D2,D2;D3,D2;D3,ps
1789289692,img_024,D2,D2;D1,D2;D1,ps
1789289698,img_025,D3,D2;D3,D2;D3,ps
1789289701,img_025,tie,D1;D2,D1;D2,ps
1789289709,img_025,D1,D3;D1,D3;D1,ps
1789290231,live_1789290144754,D2,D2;D1,D2;D1;D3,
1789290521,live_1789290319000,D2,D2;D1,D2;D1;D3,
